Model,Synthetic F1,NASA F1,Delta (Δ),Change (%),Generalization
Isolation Forest,0.19,0.12173913043478263,-0.06826086956521737,-35.926773455377564,Worse
LOF,0.22,0.0606060606060606,-0.1593939393939394,-72.45179063360881,Worse
LSTM Autoencoder,0.64,0.4300791556728233,-0.20992084432717673,-32.80013192612136,Worse
