Model,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
Isolation Forest,0.14,0.1076923076923077,0.12173913043478263,0.6327253502511234,0.35659241676330566
LOF,0.05970149253731343,0.06153846153846154,0.0606060606060606,0.4856991805445414,0.8528258800506592
LSTM Autoencoder,1.0,0.27058823529411763,0.42592592592592593,0.4879551820728291,128.80963230133057
